FIELD,GOVERNANCE,CHANGE REQUEST REQUIRED,OWNER,PURPOSE,MANUFACTURED ADHESIVE,MANUFACTURED PHASES,MANUFACTURED OLIGOMER,MANUFACTURED TOLL,PACKAGED ADHESIVE,PACKAGED OLIGOMER,PACKAGED TOLL,MANUFACTURED EQUIPMENT,MANUFACTURED EQU SUB ASSEMBLY,PURCHASED CHEMICAL RAWS,PURCHASED PACKAGING,PURCHASED EQUIPMENT RAWS,TRANSFERRED ADHESIVE ,TRANSFERFED OLIGOMER,TRANSFERRED CHEMICAL RAW MATERIAL,TRANSFERRED EQUPMENT 
ECO REASON,Local,NO,OPERATIONS,A code (table 40/CR) that identifies the reason for the engineering change order.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
ECO DATE,Local,NO,OPERATIONS,The date of the engineering change order.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
ISSUE AND RECEIPT,Local,NO,OPERATIONS,A code that indicates whether an item is received at the time of inventory issues or if the system uses the Move and Disposition program. Valid values are:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REPLENISHMENT HOURS,Local,NO,OPERATIONS,The time required before a consuming location has a replacement kanban available from its supplying location. This value is used only for kanban card processing in Shop Floor Management.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
ACCOUNTING COST QTY,Local,NO,FINANCE,An amount that the system uses in the Cost Rollup program to determine the allocation of setup costs. ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISSUE TYPE CODE,Local,NO,OPERATIONS,A code that indicates how the system issues each component in the bill of material from stock.,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
TIME BASIS,Local,NO,OPERATIONS, indicates how machine or labor hours are expressed for a product. Time basis codes identify the time basis or rate to be used for machine or labor hours entered for every routing step.,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U
ITEM REVISION LEVEL,Local,NO,OPERATIONS,The revision level for an item. ,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,PROVIDED BY PRODCUT DEV,PROVIDED BY PRODCUT DEV,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,INHERIT FROM SOURCE BRANCH
SHRINK FACTOR,Local,NO,OPERATIONS,A fixed quantity or percentage that the system uses to determine inventory shrinkage for an item. ,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
SHRINK FACTOR METHOD,Local,NO,OPERATIONS,A value that determines whether the shrink factor you enter for this item is a percentage or a fixed quantity.,%,%,%,F,%,%,%,%,%,%,%,%,%,%,%,%
LEADTIME MANUFACTURING,N/A,NO,N/A,The total number of days required to build an item from its lowest level components to the final assembly. ,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
LEADTIME CUMULATIVE,N/A,NO,N/A,The total number of days required to build an item from its lowest level components to the final assembly. ,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
LEADTIME PER UNIT,N/A,NO,N/A,The total number of hours required to build one unit as specified on the routing.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
FIXED/VARIABLE,N/A,NO,N/A,A code that determines whether the system uses fixed or variable lead-times,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MFG LEADTIME QUANTITY,N/A,NO,N/A,The quantity that determines the Leadtime level for a manufactured item.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
ACTIVE INGREDIENT,Local,NO,OPERATIONS,A code that indicates whether an item is an active component of a parent item.,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,CHECKED,CHECKED,CHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED,UNCHECKED
KANBAN,Local,NO,N/A,A code that identifies an item as a kanban-specific item. ,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
REORDER QUANTITY,Local,NO,SUPPLY CHAIN / S&OP,The estimated reorder quantity for an item. ,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
MAXIMUM REORDER QTY,Local,NO,SUPPLY CHAIN / S&OP,The maximum order quantity for an item.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MINIMUM REORDER QTY,Local,NO,SUPPLY CHAIN / S&OP,The minimum order quantity for an item.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,BLANK,BLANK,BLANK,BLANK
REORDER POINT,Local,NO,SUPPLY CHAIN / S&OP,A quantity for an item that specifies when replenishment occurs,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
MULTIPLE ORDER QUANTITY,Local,NO,SUPPLY CHAIN / S&OP,A multiple for rounding up planned order quantities in MPS/MRP. ,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
UNITS PER CONTAINER,Local,NO,SUPPLY CHAIN / S&OP,The standard quantity of containers that you use in the manufacturing process,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAFETY STOCK,Local,NO,SUPPLY CHAIN / S&OP,The quantity of stock kept on hand to cover high-side variations in demand.,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
FROM UOM,GLOBAL,YES,PRODUCT DEVELOPMENT / OPERATIONS,A user defined code (system 00/type UM) that identifies the unit of measure for an item.,N/A,N/A,N/A,N/A,BASE UOM,BASE UOM,BASE UOM,N/A,N/A,N/A,N/A,N/A,BASE UOM,BASE UOM,N/A,N/A
QUANTITY,GLOBAL,YES,PRODUCT DEVELOPMENT / OPERATIONS,The factor that the system uses to convert one unit of measure to another unit of measure.,N/A,N/A,N/A,N/A,DERIVED FROM DENSITY OR BOM,STANDARD FILL WEIGHTS,STANDARD FILL WEIGHTS,N/A,N/A,N/A,N/A,N/A,DERIVED FROM DENSITY OR BOM,STANDARD FILL WEIGHTS,N/A,N/A
TO UOM,GLOBAL,YES,PRODUCT DEVELOPMENT / OPERATIONS,A code (UDC table 00/UM) that indicates a secondary unit of measure.,N/A,N/A,N/A,N/A,SUBUNIT UOM,SUBUNIT UOM,SUBUNIT UOM,N/A,N/A,N/A,N/A,N/A,SUBUNIT UOM,SUBUNIT UOM,N/A,N/A
COST METHOD 07,Local,NO,FINANCE,"The cost for one unit of this item, based on the corresponding cost method",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COST METHOD 08,Local,NO,FINANCE,"The cost for one unit of this item, based on the corresponding cost method",0,0,0,0,0,0,0,0,0,COST SUPPLIED BY PROCUREMENT,COST SUPPLIED BY PROCUREMENT,COST SUPPLIED BY PROCUREMENT,SUPPLIED BY FINANCE,SUPPLIED BY FINANCE,SUPPLIED BY FINANCE,SUPPLIED BY FINANCE
SEED COST,Local,NO,FINANCE,"The cost for one unit of this item, based on the corresponding cost method",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COST SUPPLIED BY PROCUREMENT,COST SUPPLIED BY PROCUREMENT,COST SUPPLIED BY PROCUREMENT,SUPPLIED BY FINANCE,SUPPLIED BY FINANCE,SUPPLIED BY FINANCE,SUPPLIED BY FINANCE
SUPPLIER,Local,NO,SUPPLY CHAIN,The supplier from whom you are purchasing items or services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,PROVIDED BY SUPPLY CHAIN,SOURCE BRANCH,SOURCE BRANCH,SOURCE BRANCH,SOURCE BRANCH
ITEM NUMBER,Local,NO,SUPPLY CHAIN,A number that the system assigns to an item.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CURRENT LONG ITEM NUMBER,CURRENT LONG ITEM NUMBER,CURRENT LONG ITEM NUMBER,CURRENT LONG ITEM NUMBER,CURRENT LONG ITEM NUMBER,CURRENT LONG ITEM NUMBER,CURRENT LONG ITEM NUMBER
NORMAL ROUTE CODE,Global,YES,SUPPLY CHAIN,A user defined code (43/RC) that identifies a receipt route. ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PINS,PINS,PINS,SHIP,INSP,INSP,SHIP
EFFECTIVE DATE,Local,NO,SUPPLY CHAIN,The date on which a level within a pricing method takes effect.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DATE OF INITIAL SETUP,DATE OF INITIAL SETUP,DATE OF INITIAL SETUP,DATE OF INITIAL SETUP,DATE OF INITIAL SETUP,DATE OF INITIAL SETUP,DATE OF INITIAL SETUP
EXPIRATION DATE,Local,NO,SUPPLY CHAIN,The date a particular pricing level within a pricing method expires. ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51501,51501,51501,51501,51501,51501,51501
SUPPLY BRANCH,Global,YES,SUPPLY CHAIN,Origin facility,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE FACILITY,SOURCE FACILITY,SOURCE FACILITY,SOURCE FACILITY
DEMAND BRANCH,Global,YES,SUPPLY CHAIN,Recipient facility,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TARGET FACILITY,TARGET FACILITY,TARGET FACILITY,TARGET FACILITY
PLAN FAMILY,Global,YES,SUPPLY CHAIN,Master Planning Code UDC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,SOURCE FACILITY SPECIFIC CODE,SOURCE FACILITY SPECIFIC CODE,SOURCE FACILITY SPECIFIC CODE,SOURCE FACILITY SPECIFIC CODE
TRANSER LEADTIME,Local,NO,SUPPLY CHAIN,The number of days to ship items from the supply branch to the demand branch,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DETERMINED BY GLOBAL SUPPLY CHAIN,DETERMINED BY GLOBAL SUPPLY CHAIN,DETERMINED BY GLOBAL SUPPLY CHAIN,DETERMINED BY GLOBAL SUPPLY CHAIN
EFFECTIVE FROM,Global,YES,SUPPLY CHAIN,Date Route code goes into effect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DATE CODE GOES INTO EFFECT,DATE CODE GOES INTO EFFECT,DATE CODE GOES INTO EFFECT,DATE CODE GOES INTO EFFECT
EFFECTIVE THRU,Global,YES,SUPPLY CHAIN,Date Route code is no longer in effect,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12/31/2040 IF NOT EXPIRED,12/31/2040 IF NOT EXPIRED,12/31/2040 IF NOT EXPIRED,12/31/2040 IF NOT EXPIRED
